"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ENSG00000117519",4483.62709360346,-2.42271923981601,0.0600016218982996,-40.3775625252668,0,0
"ENSG00000183508",2053.88135557663,3.20195534795427,0.0724172014757455,44.215397484349,0,0
"ENSG00000159176",5692.46278267679,-2.31373756503587,0.0575533663106406,-40.2016026751175,0,0
"ENSG00000150938",7442.98631416393,-2.05963137024161,0.0538449075112107,-38.2511822462094,0,0
"ENSG00000116016",4423.94665216876,-1.8880193725334,0.0431679917758876,-43.7365579185454,0,0
"ENSG00000136068",3796.1265394147,-1.64979200672636,0.0439354370533411,-37.550372031656,0,0
"ENSG00000164251",2348.7701339719,3.3445083321361,0.0690717572655209,48.4207795565323,0,0
"ENSG00000124766",2576.65254960143,2.39228794576996,0.061708615181298,38.7674871448904,0,0
"ENSG00000124762",28106.1191885778,1.83225777686374,0.0388966414279807,47.1058093860435,0,0
"ENSG00000106366",43719.1260988373,-1.84404649934342,0.0419164996608946,-43.9933323216824,0,0
"ENSG00000188153",2944.12640623352,2.26608046261254,0.0552681287921954,41.0015774395557,0,0
"ENSG00000122861",28007.1433373973,2.26252546550258,0.0552183311595088,40.9741732137257,0,0
"ENSG00000148773",1840.19727265675,-3.19605832567065,0.0757850351652843,-42.1726838115225,0,0
"ENSG00000059804",3443.39680712992,2.07976295761976,0.054325434913582,38.2834110933145,0,0
"ENSG00000123416",4420.07398793879,-1.93841810360099,0.0505768630461152,-38.3261828997494,0,0
"ENSG00000139289",12942.9106281238,2.03736205042695,0.0462973434178467,44.0060249686289,0,0
"ENSG00000125257",6050.78726438958,1.95054949491349,0.0435953844405997,44.742110201395,0,0
"ENSG00000211448",1884.75741158654,2.52372169452888,0.0653981298931795,38.590120216757,0,0
"ENSG00000128917",1307.34250385583,3.8582531145741,0.0865185432075125,44.5945224172369,0,0
"ENSG00000138623",2851.61916336974,-2.40668774845908,0.0581377318678336,-41.3963130507101,0,0
"ENSG00000131747",1743.84285765667,-2.92418912756521,0.0696221034544529,-42.0008730342114,0,0
"ENSG00000167601",8245.06804500101,-2.14234576630771,0.0404435485638588,-52.9712609892535,0,0
"ENSG00000198743",1999.10327890814,2.53453041313559,0.0670975518001015,37.7738135764852,0,0
"ENSG00000074800",18390.4756149844,-1.33893117834408,0.035859027589577,-37.3387475440986,3.86082290729946e-305,2.37086700032414e-302
"ENSG00000181104",14922.5173336984,1.66815955567936,0.0447581299294325,37.2705374042536,4.9267324576694e-304,2.90440731844527e-301
"ENSG00000115963",13232.3301349766,1.80533073536896,0.0488625142075159,36.9471519148982,8.09231108198566e-299,4.58709541255018e-296
"ENSG00000104368",13214.4968037918,2.02763709005456,0.0550460855246627,36.8352639561645,5.0352068365362e-297,2.74847697618039e-294
"ENSG00000157680",1359.0634938634,2.54493702368437,0.0693613893225779,36.6909753183961,1.01726618401129e-294,5.35445322141374e-292
